ID;question;answer_1;answer_2;answer_3;answer_4;correct_answer;category
15117;Which alpine sibling pair won 6 of Liechtenstein's 9 Olympic medals?;Ianica and Ivica Kostelic;Hanni and Andreas Wenzel;Macarena and Javier Simari Birkner;Pirmin and Heidi Zurgriggen;2;Winter Sports
22198;How are Shirley MacLaine and Warren Beatty related?;Husband and wife;Their fathers were brothers;Cousins;Brother and sister;4;Entertainment
4108;In DMP programs, chronically ill patients are systematically treated. What does "DMP" stand for?;Disease-Management-Progress;Disease-Management-Patient;Disease-Management-Program;Disease-Management-Problems;3;Medicine
19755;What is the largest lake in Hesse?;Diemelsee;Twistesee;Edersee;Aartalsee;3;Geography
3768;What export product is South Africa internationally known for?;Rice;Kiwi;Wine;Tea;3;Travel
13298;What profession did Princess Letizia have before marrying Felipe of Spain?;Nurse;Journalist;Hairdresser;Lawyer;2;High Society
16880;Who is considered the author of the oldest known Indian dramas?;Banabhatta;Jayakanthan;Akhandanand;Ashvaghosha;4;Literature
3069;Which US state does the city of Pittsburgh belong to?;Ohio;Oklahoma;Oregon;Pennsylvania;4;Geography
16171;What was Hitchcock's last film?;Family Plot;Frenzy;Rear Window;Marnie;1;Entertainment
801;Abdul Ahad Mohmand was the first astronaut from which country?;Syria;Saudi Arabia;Kuwait;Afghanistan;4;Technology
14289;Which Greek scholar formulated the laws of the center of gravity?;Creon;Socrates;Archimedes;Thales;3;Physics
12268;What hair color does "The Little Match Girl" have in the fairy tale?;red;black;brown;blonde;4;Literature
5249;What common sizes are external hard drives offered in?;1.8 / 2.5 / 3.5 inch;7.5 / 5.25 inch;3.5 / 5.25 / 8 inch;3.25 / 3.5 inch;1;Digital
12206;What kind of fruit grows on a carob tree?;Berries;Legumes;Nuts;Stone fruits;2;Plants
23251;Where is the Zeil shopping street located?;Cologne;Frankfurt/M;Hamburg;Düsseldorf;2;Travel
11684;Which famous person did NOT die in 1959?;Errol Flynn;Mario Lanza;Ernest Hemingway;Adrian Wettach;3;People
8840;What does the title "Augustus" mean in German?;the richly endowed;Emperor;the Exalted;first citizen;3;History
14693;Which Reich Chancellor emigrated to the USA in 1934?;Heinrich Brüning;Kurt von Schleicher;Wilhelm Cuno;Franz von Papen;1;Politics
11616;Which Bavarian region has the highest brewery density?;Swabia;Upper Franconia;Middle Franconia;Upper Bavaria;2;More General
23709;Where do you land if airline "EVA Air" takes you to its home country?;Taiwan;Uzbekistan;USA;Seychelles;1;Travel
23656;Where is Popeye tattooed?;On his legs;On his arms;On his chest;On his shoulder blade;2;Entertainment
9203;What kind of animals are "medusae"?;Water fleas;Mosquitoes;Lizards;Jellyfish;4;Animals
25110;At what time of day is increased wildlife activity expected?;At 12 o'clock;At midday;At dawn;In the early afternoon;3;Car & Traffic
2970;The official currency of Aruba is the...?;Aruba-Euro;Aruba-Florin;Aruba-Dollar;Aruba-Guilder;2;Geography
11344;What is kept in a humidor?;Cigars;Documents;Stamps;Shellfish;1;More General
24517;What does the abbreviation "RFID" stand for?;radio-frequency identification;radio-frequency implementation;radio-frequency information;radio-frequency imagination;1;Technology
24690;How are you traveling if you are traveling "per Pedes"?;by bus;on foot;by car;by bike;2;Language
7839;When was the first docking maneuver with two manned space capsules in space accomplished?;March 3, 1969 with Apollo 9 and Apollo 10;May 15, 1963 with Mercury 8 and Mercury 9;March 16, 1966 with Gemini 8 and Gemini 9;January 16, 1969 with Soyuz 4 and Soyuz 5;4;Air & Space
11242;What was the "Maginot Line"?;Part of the former GDR border fortifications;A belt of huge concrete bunkers;Former border between North and South Vietnam;A naval blockade;2;History
1475;Which operetta does the melody "Grüß euch Gott, alle miteinander" come from?;The Bird Seller;The Bat;The Gypsy Baron;The Opera Ball;1;Music
25135;For the treatment of which disease is quinine used?;Hepatitis;Malaria;Plague;Tuberculosis;2;Medicine
14560;Which name does NOT designate the same person?;Amenhotep;Amenophis;Mentuhotep;Akhenaten;3;History
7940;When did Chancellor Brandt make a kneeling that went down in history?;December 7, 1970;September 8, 1969;October 3, 1970;November 13, 1971;1;History
4923;In which country is Lake Thun located?;Tunisia;Switzerland;Austria;Germany;2;Geography
977;On which Friday did the world stock markets crash, triggering the Great Depression?;Black Friday;Friday the 13th;Blue Friday;Bloody Friday;1;Economics
13942;Which of these films was released in 1981?;Das Boot;The Bridge on the River Kwai;Jurassic Park;Papillon;1;Film
4191;At what age did the beloved Argentine president's wife Evita Peron die?;33 years;45 years;57 years;63 years;1;History
20222;What is the capital of Bulgaria?;Budapest;Sofia;Bucharest;Prague;2;Geography
5782;In which city were the IV Olympic Summer Games of the modern era opened on April 27, 1908?;St Louis;Paris;Amsterdam;London;4;More Sport
3544;Which of the following is NOT a task of the German Bundestag?;Electing the Federal Chancellor;Controlling the Federal Government;Drafting laws;Forming the Federal Cabinet;4;Saxony-Anhalt
7199;Vicky Leandros sang in one of her hits "Ja, ja, der ... , der ist schlau"?;Peter;Rainer;Günter;Theo;1;Schlager
1929;The surgical removal of a terminal body part is called...?;Hypotrichosis;Transplantation;Amputation;Metabolism;3;Medicine
5641;In which city did Oscar Wilde die?;Berlin;Lyon;London;Paris;4;People
16534;Who placed 5th in Season 5 of "DSDS"?;Rania Zeriri;Sahra Drone;Monika Ivkic;Stella Salato;1;Pop
757;940 - 23 x 2 = ?;900;890;895;894;4;Mathematics
11600;Which band comes from Knittlingen near Pforzheim?;Flippers;Truck Stop;Gebrüder Blattschuss;Cindy & Bert;1;Schlager
22104;How many times has the Polish national football team been in a European Championship final so far?;3 times;5 times;1 time;Never;4;Football
23316;Where does the Werra river originate?;In the Ore Mountains;In the Taunus;In the Thuringian Slate Mountains;In the Fichtel Mountains;3;Geography
4074;In the cult comedy "Look Who's Talking!", action star Bruce Willis lends his voice to Molly's child. What is his name?;Johnny;Jimmy;Mikey;Danny;3;Film
19600;What is (according to chart rankings) the biggest hit by "2 Unlimited"?;No Limit;Tribal Dance;Get Ready For This;No One;1;Pop
2049;Everyone knows the musical "Fiddler on the Roof", but what was Anatevka?;a river in Ukraine;the milkman Tevye's wife;a district of Moscow;a Ukrainian village;4;More Music
21595;What is the nickname of Italy's footballer Sebastian Giovinco?;Atomic Ant;Rocket Bee;Explosion Beetle;Flash Mosquito;1;Football
18558;Who was Elizabeth Taylor's third husband?;Michael Wilding;Richard Burton;Michael Todd;John Warner;3;Stars
13192;Which helicopter does the "Piasecki H-21" resemble?;Westland Wasp;Sikorsky S-56;Sikorsky HH-53 C;CH-47 Chinook;4;Air & Space
2524;The coach of which club said: "We want to become champions, we just don't know in which century yet."?;Arminia Bielefeld;TSG 1899 Hoffenheim;1 FC Köln;Greuther Fürth;1;Football
11482;Which "nut" does NOT exist?;Brazil nut;Cashew nut;Pecan nut;Malben nut;4;Nutrition
18040;Who plays Inspector Eva Saalfeld in Tatort?;Eva Mattes;Katharina Böhm;Ulrike Kriener;Simone Thomalla;4;TV
2016;The Karwendel mountains belong to Austria and...?;Germany;Italy;Czech Republic;Switzerland;1;Geography
5918;Jean Giraud designed the costumes for the film Alien. What is this artist's nickname?;Moebius;HR Giger;Algor;Korn;1;Stars
5329;In which German city is Baldeney Lake located?;Schwerin;Freiburg;Chemnitz;Essen;4;Geography
17869;Who composed the film music for "As Good as It Gets"?;Mychael Danna;Jean-Michel Defaye;Thomas Newman;Hans Zimmer;4;Film Music
2417;Athlete and Olympic champion Martin Lauer wanted to make it as a Schlager singer with the...?;Automobile to Kiel;Bicycle to Paris;Taxi to Texas;Inflatable boat to America;3;Schlager
4782;In which country is Salto Ángel, the highest waterfall on Earth, located?;Argentina;Venezuela;Peru;Bolivia;2;Travel
10371;What is NOT typical of the sleep disorder "parasomnia"?;Strong thirst;Nightmares;Sleepwalking;Night terrors;1;Medicine
18971;Who was murdered in the Lorraine Motel in Memphis?;Robert Kennedy;John F. Kennedy;Martin Luther King;Sharon Tate;3;History
16589;Whoever has "gingivitis" suffers from...?;Pleurisy;Pancreatitis;Pneumonia;Gingivitis;4;Medicine
7791;When did the division of the Roman Empire into East and West take place?;395;275;415;535;1;History
4709;In which year did Hitler become Reich Chancellor?;1936;1933;1927;1923;2;Rhineland-Palatinate
