ID;question;réponse_1;réponse_2;réponse_3;réponse_4;bonne_réponse;catégorie
15117;Quelle paire de frères et sœurs alpins a remporté 6 des 9 médailles olympiques du Liechtenstein ?;Ianica et Ivica Kostelic;Hanni et Andreas Wenzel;Macarena et Javier Simari Birkner;Pirmin et Heidi Zurgriggen;2;Sports d'hiver
22198;Quel est le lien de parenté entre Shirley MacLaine et Warren Beatty ?;Mari et femme;Leurs pères étaient frères;Cousins;Frère et sœur;4;Divertissement
4108;Dans les programmes DMP, les patients chroniques sont traités systématiquement. Que signifie "DMP" ?;Disease-Management-Progress;Disease-Management-Patient;Disease-Management-Program;Disease-Management-Problems;3;Médecine
19755;Quel est le plus grand lac de la Hesse ?;Diemelsee;Twistesee;Edersee;Aartalsee;3;Géographie
3768;Pour quel produit d'exportation l'Afrique du Sud est-elle internationalement connue ?;Riz;Kiwi;Vin;Thé;3;Voyage
13298;Quelle profession exerçait la princesse Letizia avant d'épouser Felipe d'Espagne ?;Infirmière;Journaliste;Coiffeuse;Avocate;2;Haute Société
16880;Qui est considéré comme l'auteur des plus anciens drames indiens connus ?;Banabhatta;Jayakanthan;Akhandanand;Ashvaghosha;4;Littérature
3069;À quel État américain appartient la ville de Pittsburgh ?;Ohio;Oklahoma;Oregon;Pennsylvanie;4;Géographie
16171;Quel fut le dernier film d'Hitchcock ?;Complot de famille;Frenzy;Fenêtre sur cour;Marnie;1;Divertissement
801;Abdul Ahad Mohmand fut le premier astronaute de quel pays ?;Syrie;Arabie Saoudite;Koweït;Afghanistan;4;Technologie
14289;Quel savant grec a formulé les lois du centre de gravité ?;Créon;Socrate;Archimède;Thalès;3;Physique
12268;De quelle couleur sont les cheveux de "La Petite Fille aux allumettes" dans le conte ?;roux;noirs;bruns;blonds;4;Littérature
5249;Quelles tailles courantes sont proposées pour les disques durs externes ?;1,8 / 2,5 / 3,5 pouces;7,5 / 5,25 pouces;3,5 / 5,25 / 8 pouces;3,25 / 3,5 pouces;1;Numérique
12206;Quel type de fruit pousse sur un caroubier ?;Baies;Légumineuses;Noix;Fruits à noyau;2;Plantes
23251;Où se trouve la rue commerçante Zeil ?;Cologne;Francfort-sur-le-Main;Hambourg;Düsseldorf;2;Voyage
11684;Quelle personnalité célèbre n'est PAS morte en 1959 ?;Errol Flynn;Mario Lanza;Ernest Hemingway;Adrian Wettach;3;Personnes
8840;Que signifie le titre "Augustus" en allemand ?;le richement doté;Empereur;l'Exalté;premier citoyen;3;Histoire
14693;Quel chancelier du Reich a émigré aux États-Unis en 1934 ?;Heinrich Brüning;Kurt von Schleicher;Wilhelm Cuno;Franz von Papen;1;Politique
11616;Quelle région bavaroise a la plus forte densité de brasseries ?;Souabe;Haute-Franconie;Moyenne-Franconie;Haute-Bavière;2;Généralités
23709;Où atterrit-on si la compagnie aérienne "EVA Air" vous emmène dans son pays d'origine ?;Taïwan;Ouzbékistan;États-Unis;Seychelles;1;Voyage
23656;Où Popeye a-t-il un tatouage ?;Sur les jambes;Sur les bras;Sur la poitrine;Sur l'omoplate;2;Divertissement
9203;Quel type d'animaux sont les "méduses" ?;Daphnies;Moustiques;Lézards;Méduses;4;Animaux
25110;À quel moment de la journée faut-il s'attendre à une activité accrue de la faune sauvage ?;À 12 heures;À midi;À l'aube;En début d'après-midi;3;Voiture & Circulation
2970;La monnaie officielle d'Aruba est le... ?;Aruba-Euro;Aruba-Florin;Aruba-Dollar;Aruba-Guilder;2;Géographie
11344;Que conserve-t-on dans un humidor ?;Cigares;Documents;Timbres;Crustacés;1;Généralités
24517;Que signifie l'abréviation "RFID" ?;radio-frequency identification;radio-frequency implementation;radio-frequency information;radio-frequency imagination;1;Technologie
24690;Comment voyage-t-on si on voyage "per Pedes" ?;en bus;à pied;en voiture;à vélo;2;Langue
